id	team1	team2	year	season	week	game	rink	date	time
1	EMANCIPATION BROCLAMATION	BROOM-SHAKA-LAKA	2014	23	1	1			
2	THE NIGHT'S WATCH	RED HOT BALLS	2014	23	1	2			
3	RED HOT BALLS	EMANCIPATION BROCLAMATION	2014	23	2	1			
4	BROOM-SHAKA-LAKA	THE NIGHT'S WATCH	2014	23	2	2			
5	BROOM-SHAKA-LAKA	RED HOT BALLS	2014	23	3	1			
6	EMANCIPATION BROCLAMATION	THE NIGHT'S WATCH	2014	23	3	2			
7	THE NIGHT'S WATCH	RED HOT BALLS	2014	23	4	1			
8	BROOM-SHAKA-LAKA	EMANCIPATION BROCLAMATION	2014	23	4	2			
9	THE NIGHT'S WATCH	BROOM-SHAKA-LAKA	2014	23	5	1			
10	EMANCIPATION BROCLAMATION	RED HOT BALLS	2014	23	5	2			
11	THE NIGHT'S WATCH	EMANCIPATION BROCLAMATION	2014	23	6	1			
12	RED HOT BALLS	BROOM-SHAKA-LAKA	2014	23	6	2			
13	RED HOT BALLS	BROOM-SHAKA-LAKA	2014	23	7	1			
14	EMANCIPATION BROCLAMATION	THE NIGHT'S WATCH	2014	23	7	2			
15	EMANCIPATION BROCLAMATION	BROOM-SHAKA-LAKA	2014	23	8	1			
16	RED HOT BALLS	THE NIGHT'S WATCH	2014	23	8	2			
17	V FOR VERDE-TTA	YELLOW FEVER	2015	21	1	1			
18	PYROMANIACS	50 SHADES OF NUDI	2015	21	1	2			
19	PYROMANIACS	YELLOW FEVER	2015	21	2	1			
20	V FOR VERDE-TTA	50 SHADES OF NUDI	2015	21	2	2			
21	PYROMANIACS	V FOR VERDE-TTA	2015	21	3	1			
22	50 SHADES OF NUDI	YELLOW FEVER	2015	21	3	2			
23	50 SHADES OF NUDI	PYROMANIACS	2015	21	4	1			
24	YELLOW FEVER	V FOR VERDE-TTA	2015	21	4	2			
25	V FOR VERDE-TTA	50 SHADES OF NUDI	2015	21	5	1			
26	PYROMANIACS	YELLOW FEVER	2015	21	5	2			
27	YELLOW FEVER	50 SHADES OF NUDI	2015	21	6	1			
28	V FOR VERDE-TTA	PYROMANIACS	2015	21	6	2			
29	V FOR VERDE-TTA	YELLOW FEVER	2015	21	7	1			
30	PYROMANIACS	50 SHADES OF NUDI	2015	21	7	2			
31	50 SHADES OF NUDI	YELLOW FEVER	2015	21	8	1			
32	V FOR VERDE-TTA	PYROMANIACS	2015	21	8	2			
33	HOW TO TRAIN YOUR FRANCHISE	BANANA GRAHAM BELLS	2015	23	1	1			
34	OH, ME SO HORNER	HOUSE BROOMATHEON	2015	23	1	2			
35	HOW TO TRAIN YOUR FRANCHISE	OH, ME SO HORNER	2015	23	2	1			
36	BANANA GRAHAM BELLS	HOUSE BROOMATHEON	2015	23	2	2			
37	HOW TO TRAIN YOUR FRANCHISE	HOUSE BROOMATHEON	2015	23	3	1			
38	BANANA GRAHAM BELLS	OH, ME SO HORNER	2015	23	3	2			
39	OH, ME SO HORNER	HOUSE BROOMATHEON	2015	23	4	1			
40	BANANA GRAHAM BELLS	HOW TO TRAIN YOUR FRANCHISE	2015	23	4	2			
41	HOUSE BROOMATHEON	BANANA GRAHAM BELLS	2015	23	5	1			
42	OH, ME SO HORNER	HOW TO TRAIN YOUR FRANCHISE	2015	23	5	2			
43	HOUSE BROOMATHEON	HOW TO TRAIN YOUR FRANCHISE	2015	23	6	1			
44	OH, ME SO HORNER	BANANA GRAHAM BELLS	2015	23	6	2			
45	HOUSE BROOMATHEON	OH, ME SO HORNER	2015	23	7	1			
46	HOW TO TRAIN YOUR FRANCHISE	BANANA GRAHAM BELLS	2015	23	7	2			
47	BANANA GRAHAM BELLS	OH, ME SO HORNER	2015	23	8	1			
48	HOUSE BROOMATHEON	HOW TO TRAIN YOUR FRANCHISE	2015	23	8	2			
49	HOPKINS SPICED LATTES	GITTEN LAUXY	2015	24	1	1			
50	LARGE HALPERIN COLLIDER	GANGREEN	2015	24	1	2			
51	THE MOOSE IS LOOSE	GITTEN LAUXY	2015	24	1	3			
52	GANGREEN	HOPKINS SPICED LATTES	2015	24	2	1			
53	LARGE HALPERIN COLLIDER	THE MOOSE IS LOOSE	2015	24	2	2			
54	HOPKINS SPICED LATTES	GITTEN LAUXY	2015	24	2	3			
55	THE MOOSE IS LOOSE	LARGE HALPERIN COLLIDER	2015	24	3	1			
56	GITTEN LAUXY	GANGREEN	2015	24	3	2			
57	THE MOOSE IS LOOSE	HOPKINS SPICED LATTES	2015	24	3	3			
58	THE MOOSE IS LOOSE	GANGREEN	2015	24	4	1			
59	LARGE HALPERIN COLLIDER	GITTEN LAUXY	2015	24	4	2			
60	HOPKINS SPICED LATTES	GANGREEN	2015	24	4	3			
61	HOPKINS SPICED LATTES	LARGE HALPERIN COLLIDER	2015	24	5	1			
62	THE MOOSE IS LOOSE	GANGREEN	2015	24	5	2			
