id	match	team	goalie	period	SH
1	1	EMANCIPATION BROCLAMATION	Dan Piotrowski		14
2	1	BROOM-SHAKA-LAKA	Phil Karash		10
3	2	THE NIGHT'S WATCH	James Cargo		13
4	2	RED HOT BALLS	Max Leitschuh		7
5	3	EMANCIPATION BROCLAMATION	Phil Karash		11
6	3	RED HOT BALLS	Max Leitschuh		16
7	4	THE NIGHT'S WATCH	James Cargo		17
8	4	BROOM-SHAKA-LAKA	Phil Karash		15
9	5	BROOM-SHAKA-LAKA	Phil Karash		8
10	5	RED HOT BALLS	Max Leitschuh		17
11	6	EMANCIPATION BROCLAMATION	Dan Piotrowski		17
12	6	THE NIGHT'S WATCH	James Cargo		10
13	7	THE NIGHT'S WATCH	James Cargo		14
14	7	RED HOT BALLS	Spencer Langrock		14
15	8	BROOM-SHAKA-LAKA	Phil Karash		9
16	8	EMANCIPATION BROCLAMATION	Dan Piotrowski		14
17	9	THE NIGHT'S WATCH	James Cargo		17
18	9	BROOM-SHAKA-LAKA	Max Leitschuh		12
19	10	EMANCIPATION BROCLAMATION	Dan Piotrowski		10
20	10	RED HOT BALLS	Max Leitschuh		14
21	11	THE NIGHT'S WATCH	James Cargo		8
22	11	EMANCIPATION BROCLAMATION	Dan Piotrowski		16
23	12	RED HOT BALLS	Max Leitschuh		18
24	12	BROOM-SHAKA-LAKA	Phil Karash		20
25	13	RED HOT BALLS	Max Leitschuh		18
26	13	BROOM-SHAKA-LAKA	Phil Karash		13
27	14	EMANCIPATION BROCLAMATION	Dan Piotrowski		11
28	14	THE NIGHT'S WATCH	James Cargo		14
29	15	EMANCIPATION BROCLAMATION	Dan Piotrowski		11
30	15	BROOM-SHAKA-LAKA	Phil Karash		12
31	17	V FOR VERDE-TTA	James Cargo		18
32	17	YELLOW FEVER	Ken Zinser		1
33	18	PYROMANIACS	Sean Greeney		18
34	18	50 SHADES OF NUDI	Phil Karash		15
35	19	PYROMANIACS	Sean Greeney		11
36	19	YELLOW FEVER	Ken Zinser		9
37	20	V FOR VERDE-TTA	James Cargo		21
38	20	50 SHADES OF NUDI	Sean Greeney		13
39	21	PYROMANIACS	Sean Greeney		7
40	21	V FOR VERDE-TTA	James Cargo		29
41	22	50 SHADES OF NUDI	Phil Karash		24
42	22	YELLOW FEVER	Ken Zinser		8
43	23	50 SHADES OF NUDI	Phil Karash		18
44	23	PYROMANIACS	Sean Greeney		25
