id	captain	color
#YELO		#FF3AEFFF
1-800-382-5633		#B7B7B7FF
2 BRETTS 1 CUP		#6FA8DCFF
50 SHADES OF NUDI		#666666FF
ART OF DARKNESS		#666666FF
BANANA GRAHAM BELLS		#FFFF00FF
BANGKOK SLIDE		#548DD4FF
BARNEY AND FRIENDS		#9D67C5FF
BETTY WHITE'S KNIGHTS		#FFFFFFFF
BLACK IS THE NEW BLACK		#595959FF
BLEACHED ICE HOLES		#FFFFFFFF
BLUE BANANAS OF DEATH		#0066CCFF
BLUE SCREENS OF DEATH		#0066CCFF
BRAD BODS		#6FA8DCFF
BRIGHT & HORNEY		#FF0000FF
BROOM-SHAKA-LAKA		#008000FF
BROOMASAURUS REX		#FFFF00FF
BROOMBASTIC		#00B050FF
BROOMINATORS		#FFFF00FF
CARGO CULT		#FFFF00FF
CARGO PANTS		#FF0000FF
CARLOS DANGER'S QUINCEAÑERA		#FFFF00FF
COMMUNIST PAR-TAY		#FF0000FF
CONNECT FOUR LOKO		#E36C09FF
DIRTY MIKE AND THE BOYS		#FFFF00FF
EMANCIPATION BROCLAMATION		#FFFF00FF
FIGHTIN' PIOTROWSKIS		#FFFF00FF
FRANK'S BAR ALL-STARS		#008000FF
GAME OVERMANN		#9FC5E8FF
GANGREEN		#008000FF
GANGSTA GUMBYS		#008000FF
GITTEN LAUXY		#00FFFFFF
GLORY POLES		#548DD4FF
GRAPES OF ENVY		#00B050FF
GRAPES OF LUST		#FF0000FF
GRAPES OF PRIDE		#FFFF00FF
GRAPES OF WRATH		#9D67C5FF
GREEN EGGS AND BLAM		#00B050FF
GUBI OR NOT GUBI		#F4CCCCFF
GUBISEXUAL		#548DD4FF
HAND BANANA BUNCH		#FFFF00FF
HELLO KITTY MILLIONAIRES		#548DD4FF
HERB APPEAL		#1E8708FF
HOPKINS SPICED LATTES		#FF9900FF
HORNER & KAMPHAUS GO TO WHITE CASTLE		#D8D8D8FF
HOT DOGS AND TACOS		#00B050FF
HOT SAUCE!		#FF0000FF
HOUSE BROOMATHEON		#008000FF
HOW TO TRAIN YOUR FRANCHISE		#3D85C6FF
INGLORIOUS IRISH BASTARDS		#008000FF
JONES' BALLS EXPRESSWAY		#999999FF
JUST THE TIP-IN		FFFFFF00
KASEY & THE SUNSHINE BAND		#FFFF00FF
KINKY MEHTER MAIDS		#6D9EEBFF
KNOWN BULLIES		#558ED5FF
KYLO REN'S HIGH PANTS		#999999FF
LARGE HALPERIN COLLIDER		#FF48F9FF
LAVIOLET FEMMES		#3D85C6FF
LEMON PARTIED OUT		#FFFF00FF
LITTLE BLUE PILLS		#3D85C6FF
MAIZE RAGE		#FFF2CCFF
MEAN TANGERINE		#FF9900FF
MIGHTY DRUNKS		#FF0000FF
MR. YUK		#008000FF
MULLADY AND THE TRAMPS		#38761DFF
NAAPP		#595959FF
NEGRONOMICON		#FF0000FF
NUDI BAR		#FFFF00FF
OCCUPY TUCKER ROAD		#008000FF
OH, ME SO HORNER		#FF0000FF
ORANGE YOU GLAD YOU CAME		#E36C09FF
PAIN FOR PLEASURE		#FFFF00FF
PAWL BEARERS		#1E8708FF
PECAN SANDIES		#FF0000FF
PORN STACHES		#FF76EEFF
PYROMANIACS		#FF0000FF
RED BARONS		#FF0000FF
RED BORCHATTA		#FF0000FF
RED HOT BALLS		#FF0000FF
RED ROCKETS		#FF0000FF
RED SHIRTED STEP CHILDREN		#FF0000FF
REDUENAMI		#FF0000FF
RETURN OF THE MAC		#FFFF00FF
RIPPIN AND THE SCORIN		#FF0000FF
RUB HER DUCKY		#FFFF00FF
SITH HAPPENS		#666666FF
SKEWED BLUE		#6FA8DCFF
SNOWBALLIN'		#D8D8D8FF
SUNDAY NIGHT BALL-STARS		#999999FF
TANKS FOR ASKING		#FF0000FF
TARA DOES TUCKER		#FF0000FF
TEACH ME HOW TO GUBI		#548DD4FF
TEENAGE MUTANT NINJA TWERKERS		#008000FF
THAT'S NO BROOM		#008000FF
THE BEETS		#FF0000FF
THE COUCH TEST		#FF0000FF
THE FIGHTING MONGOOSES		#CFE2F3FF
THE GREAT WHITE HYPE		#D8D8D8FF
THE MOOSE IS LOOSE		#CCCCCCFF
THE NIGHT'S WATCH		#666666FF
THE RED ARMY		#FF0000FF
THE RED TIDE		#FF0000FF
TIGER UPPER CUT		#F89708FF
TOO MANY NICKS ON THE ICEFLOOR		#999999FF
TYRANNASEXUALS		#008000FF
URINE TROUBLE		#FFFF00FF
V FOR VERDE-TTA		#008000FF
VANILLA ICE		#FFFFFFFF
VICTORIOUS SECRET		#FF0000FF
WE JUST BLUE OURSELVES		#548DD4FF
WOLFGANG'S PUCK		#008000FF
YELLOW FEVER		#FFFF00FF
YELLOW-BELLIED PIRATE HOOKERS		#FFFF00FF
YOU'RE MY BOY BLUE!		#548DD4FF
ZAMBONERS		#F89708FF
🍆		#9900FFFF
